index,X,Y,Desc_,UpdateDate,UpdateTime,UTCoffset,linear_reference,Route,ImageName,ImageURL,VideoURL,ORG,Type,FID,REGION
0,-93.77725600000001,41.583897,DM - I-35 @ Ashworth Ave (55),20181130.0,145311.0,-500.0,72.3,I-35,DM - I-35 @ Ashworth Ave (55),http://205.221.66.10/axis/DMTV55.jpg,http://205.221.66.10:1935/live/dmtv55lb.stream/manifest.m3u8,IADOT,Iowa DOT,1,Des Moines
1,-93.59885899999999,41.596041,DM - I-235 @ E 14th (05),20181130.0,145311.0,-500.0,9.415528683230981,I-235,DM - I-235 @ E 14th (05),http://205.221.66.10/axis/DMTV05.jpg,http://205.221.66.10:1935/live/dmtv05lb.stream/manifest.m3u8,IADOT,Iowa DOT,2,Des Moines
2,-93.434794,42.008381,NV - US 30 @ 19th St (05),20181130.0,145311.0,-500.0,159.0,US 30,NV - US 30 @ 19th St (05),http://205.221.97.105/snapshots/NVTV05.jpg,http://205.221.97.105:1935/live/nvtv05lb.stream/manifest.m3u8,IADOT,Iowa DOT,3,Ames
3,-90.49105300000001,41.59596,Rest Area: I-80 EB MM 300 near Davenport,20181130.0,145311.0,-500.0,300.0,I-80,RA80EB300 - Center,http://205.221.66.9/RestAreas/RA80EB300-01-CENTER.jpg,,IADOT,Rest Area/Parking,4,Other
4,-90.49105300000001,41.59596,Rest Area: I-80 EB MM 300 near Davenport,20181130.0,145311.0,-500.0,300.0,I-80,RA80EB300 - Entry,http://205.221.66.9/RestAreas/RA80EB300-01-ENTRY.jpg,,IADOT,Rest Area/Parking,5,Other
5,-90.49105300000001,41.59596,Rest Area: I-80 EB MM 300 near Davenport,20181130.0,145311.0,-500.0,300.0,I-80,RA80EB300 - Exit,http://205.221.66.9/RestAreas/RA80EB300-01-EXIT.jpg,,IADOT,Rest Area/Parking,6,Other
6,-91.0992,40.813,RWIS - US 34 MM 263.5 @ Burlington,20181130.0,145311.0,-500.0,263.5,US 34,RWIS - US 34 MM 263.5 @ Burlington: Position 2,http://205.221.97.102/RWIS/Vid-000512007-00-01.jpg,,IADOT,RWIS,7,RWIS Cameras
7,-91.0992,40.813,RWIS - US 34 MM 263.5 @ Burlington,20181130.0,145311.0,-500.0,263.5,US 34,RWIS - US 34 MM 263.5 @ Burlington: Position 3,http://205.221.97.102/RWIS/Vid-000512007-00-02.jpg,,IADOT,RWIS,8,RWIS Cameras
8,-91.0992,40.813,RWIS - US 34 MM 263.5 @ Burlington,20181130.0,145311.0,-500.0,263.5,US 34,RWIS - US 34 MM 263.5 @ Burlington: Position 4,http://205.221.97.102/RWIS/Vid-000512007-00-03.jpg,,IADOT,RWIS,9,RWIS Cameras
9,-91.0992,40.813,RWIS - US 34 MM 263.5 @ Burlington,20181130.0,145311.0,-500.0,263.5,US 34,RWIS - US 34 MM 263.5 @ Burlington: Position 5,http://205.221.97.102/RWIS/Vid-000512007-00-04.jpg,,IADOT,RWIS,10,RWIS Cameras
